Day,Price,Q10,Q90
561,0.0858,0.0461565257803346,0.969015692433875
568,0.0505,0.049665747690969,1.03217882712272
575,0.0611,0.0533938258364344,1.09860904465404
582,0.0609,0.0573514937109382,1.16843245463809
589,0.0653,0.0615498717391535,1.24177841995769
596,0.066,0.0660004763187924,1.31877960005055
603,0.064,0.070715228962602,1.39957199423952
610,0.0616,0.0757064655396904,1.48429498511054
617,0.0615,0.0809869456160558,1.57309138193749
624,0.0627,0.0865698618942375,1.66610746415362
631,0.062,0.0924688497519608,1.76349302486899
638,0.0611,0.0986979968796931,1.86540141443349
645,0.0965,0.105271853016998,1.97198958404501
652,0.102,0.112205439787594,2.0834181294022
659,0.115,0.11951426063301,2.19985133440137
666,0.1925,0.127214310844757,2.32145721487741
673,0.34,0.135322087694894,2.4484075623877
680,0.279,0.14385460066492,2.58087798803923
687,0.2768,0.152829381772881,2.7190479663581
694,0.27,0.162264495998597,2.86310087920114
701,0.19,0.172178551806939,3.01322405970933
708,0.22,0.182590711769023,3.16960883630237
715,0.2401,0.19352070328128,3.33245057671444
722,0.265,0.20498882938228,3.50194873207033
729,0.3,0.217015979667233,3.67830688100201
736,0.323,0.229623641300069,3.86173277380471
743,0.3868,0.242833910123038,4.05243837663295
750,0.4424,0.256669501863707,4.25063991573538
757,0.4799,0.271153763439303,4.45655792172867
764,0.8975,0.286310684358301,4.67041727390969
771,1.05,0.302164908219166,4.89244724460609
778,0.85,0.318741744306197,5.12288154356447
785,0.89,0.336067179282359,5.36195836237633
792,0.8999,0.354167888979044,5.60992041894114
799,0.8925,0.373071250282678,5.86701500196616
806,0.7411,0.392805353118078,6.13349401550328
813,0.822,0.413399012528503,6.40961402352164
820,0.779,0.434881780852332,6.69563629451694
827,0.7369,0.457283959996236,6.99182684615585
834,1.1123,0.480636613804836,7.29845648995637
841,1.6311,0.504971580526729,7.61580087600306
848,3.0331,0.530321485376842,7.94414053769759
855,3.8659,0.556719753194979,8.28376093654342
862,6.987,0.584200621200562,8.6349525069653
869,6.6901,0.612799151843455,8.99801070116292
876,8.4299,0.642551245750803,9.37323603399805
883,16.7,0.6734936547698,9.76093412791571
890,18.5464,0.705663995106349,10.1614157578985
897,17.51,0.739100760559519,10.5749968964544
911,15.4405,0.809932010054728,11.4427478470986
918,14.9,0.847407990110799,11.8975759971762
925,13.16,0.88631341445003,12.3668204220089
932,13.98,0.926691366702608,12.8508237576879
939,13.35,0.968585889506739,13.3499341084382
946,7.9,1.01204199841181,13.8645050918313
953,10.7957,1.05710569587687,14.39489588403
960,11.3113,1.10382398536428,14.9414712650641
967,9.0701,1.1522448855285,15.5046016641365
974,8.178,1.20241744449997,16.0846632049607
981,5.8644,1.25439175426403,16.6820377511284
988,5.2,1.30821896513468,17.2971129515075
995,5.33,1.36395130032338,17.9302822856702
1002,5.027,1.42164207060257,18.5819451093513
1009,4.1029,1.48134568906391,19.2525066999354
1016,3.557,1.54311768597141,19.9423783019748
1023,3.17,1.60701472370904,20.6519771727356
1030,3.27,1.67309461182292,21.3817266277739
1037,2.9596,1.74141632215818,22.1320560865402
1044,2.9969,1.81204000409011,22.9034011180132
1051,2.2,1.8850269998498,23.6962034863617
1058,2.4799,1.96043985994418,24.5109111966356
1065,2.8281,2.03834235867027,25.347978540484
1072,3.2511,2.11879950972365,26.2078661419035
1079,3.193,2.2018775819012,27.0910410030117
1086,4.225,2.28764411489785,27.9979765498505
1093,5.2677,2.37616793519753,28.9291526782166
1100,7.1136,2.46751917205794,29.8850557995183
1107,7.0018,2.56176927358952,30.8661788866618
1114,6.3097,2.65899102292807,31.8730215199619
1121,5.3809,2.75925855450134,32.9060899330819
1128,5.6888,2.86264737038947,33.9658970589992
1135,5.5147,2.96923435677901,35.0529625759979
1142,4.3867,3.07909780051076,36.1678129536873
1149,4.922,3.19231740572112,37.3109814990478
1156,4.82,3.30897431057728,38.4830084025026
1163,4.91,3.42915110410542,39.6844407840142
1170,5.2794,3.55293184311302,40.9158327392093
1177,4.55,3.68040206920409,42.1777453855271
1184,4.827,3.81164882588799,43.4707469083947
1191,4.7925,3.94676067578164,44.7954126074274
1198,4.9689,4.08582771790479,46.1523249426543
1205,5.2035,4.22894160506856,47.5420735807689
1212,4.9044,4.37619556135747,48.9652554414067
1219,5.0499,4.52768439970411,50.4224747434441
1226,4.93,4.68350453955706,51.9143430513257
1233,5.09,4.84375402464199,53.4414793214142
1240,5.139,5.00853254081578,55.0045099483659
1247,5.2051,5.17794143401297,56.6040688115293
1254,5.4683,5.35208372828583,58.2407973213701
1261,6.1638,5.53106414393697,59.915344465918
1268,6.35,5.71498911574447,61.6283668572395
1275,6.629,5.9039668112803,63.3805287779341
1282,6.799,6.09810714932081,65.1725022276534
1289,7.621,6.29752181835035,67.0049669696446
1296,8.4096,6.50232429515714,68.8786105773174
1303,8.7103,6.71262986352213,70.7941284808361
1310,10.87,6.92855563299978,72.7522240137311
1317,11.624,7.15022055779167,74.7536084595375
1324,8,7.37774545571259,76.7990010984555
1331,10.61,7.6112530272488,78.8891292540328
1338,10.2041,7.85086787470851,81.0247283398706
1345,11.02,8.09671652146492,83.2065419063527
1352,11.87,8.34892743129148,85.4353216873984
1359,12.1933,8.60763102778913,87.7118276472343
1366,12.4,8.87295971390562,90.0368280271918
1373,11.8,9.14504789154742,92.4110993925284
1380,11.7389,9.4240319812833,94.8354266792641
1387,11.6311,9.71005044213973,97.3106032410496
1394,10.7,10.0032437914888,99.8374308960476
1401,10.8001,10.3037546250278,102.416719973844
